,0
0,-9.374229696695693
1,-151.33414136373904
2,0.0
3,-579.1249003851553
4,1971.7891943558352
5,-279.235454919748
6,197.59300347405951
7,583.9797251156997
8,-2216.6869168562116
9,2623.1246667688247
10,-1037.949600599124
11,2125.0488430312835
12,14478.048802465666
13,-10561.72645304387
14,4775.423416888807
15,-3764.1477867068024
16,-1081.3733894450124
17,-14467.444030044251
18,14846.783359451685
19,-10630.915166458697
20,11804.815699600149
21,7767.250921856612
22,-1396.5338604239514
23,16435.897048712708
24,4116.476571631618
25,2906.7404722126666
26,-3609.247348252218
27,-838.7957308933837
28,-6178.143782327068
29,1683.2430363422027
30,-5014.056858091964
31,-4482.24456373055
32,-11022.485807050252
33,-830.0156468078494
34,-10119.88986256742
35,11631.046802051947
36,-14339.63790199079
37,2991.4860950205475
38,-6083.737807139638
39,4172.300878284732
40,7211.738749901415
41,-1003.6039385681506
42,-761.2152177325916
43,2283.464914577082
44,1186.9086745427921
45,6111.987852920662
46,4540.05442648055
47,-8395.350867622648
48,6346.170344383223
49,3587.5872480373364
50,-720.1488827206194
51,8106.152052881196
52,-1440.0742330234498
53,-6372.17931753688
54,-2069.7554777346086
55,-905.2321270129178
56,9627.891110492172
57,6863.204971232219
58,8013.141875270405
59,-5129.262713122647
60,-2019.2350516311126
61,6722.215461185202
