,0
0,308.0645131452475
1,-155.13046845886856
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,-1128.5759410681203
24,-145.69172679190524
25,0.0
26,-2975.7701014110353
27,-169.41669684601948
28,0.0
29,0.0
30,0.0
31,0.0
32,-1632.593223922886
33,-2727.8458712042775
34,2280.7803678167984
35,-12139.762564087985
36,-550.7605814225972
37,0.0
38,0.0
39,-1134.0034621525556
40,-137.44208798883483
41,17.382715778890997
42,-1763.0084398449399
43,-262.6054267697036
44,0.0
45,0.0
46,0.0
47,0.0
48,1589.8701089571696
49,-1412.635870535858
50,-2722.2374418363906
51,-1055.4972146118525
52,1388.681610481115
53,-15816.526444758987
54,3036.180083444575
55,-990.4804888516665
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
