,0
0,1251532.704959471
1,1252802.5349699426
2,1252677.9785151854
3,1252677.9785151854
4,1252677.9785151854
5,1253164.5358826742
6,1253277.8014628422
7,1252800.2293368608
8,1253115.596287351
9,1254427.5948686006
10,1253716.7038187485
11,1253298.8989881848
12,1253298.8989881848
13,1253298.8989881848
14,1253298.8989881848
15,1253298.8989881848
16,1253298.8989881848
17,1253298.8989881848
18,1253298.8989881848
19,1253298.8989881848
20,1253298.8989881848
21,1253298.8989881848
22,1253298.8989881848
23,1253298.8989881848
24,1253298.8989881848
25,1253298.8989881848
26,1253298.8989881848
27,1253298.8989881848
28,1253298.8989881848
29,1253298.8989881848
30,1253298.8989881848
31,1253298.8989881848
32,1253298.8989881848
33,1253298.8989881848
34,1253298.8989881848
35,1253298.8989881848
36,1253298.8989881848
37,1253137.5558420052
38,1254002.3751964567
39,1254056.5891012363
40,1251739.7016044334
41,1251448.876557309
42,1252065.0604675512
43,1251950.432593563
44,1252179.753840511
45,1250864.7018138538
46,1252055.1065355432
47,1254013.7914661488
48,1251991.0243920186
49,1251700.3682099925
50,1251700.3682099925
51,1251700.3682099925
52,1251700.3682099925
53,1251700.3682099925
54,1251700.3682099925
55,1251700.3682099925
56,1251700.3682099925
57,1251700.3682099925
58,1251700.3682099925
59,1251700.3682099925
60,1251700.3682099925
61,1251700.3682099925
62,1251700.3682099925
