,0
0,1000000.0
1,1000113.6512656853
2,999867.0650460826
3,1001202.7662504462
4,1000533.0750021373
5,998453.3536420697
6,996019.3546231791
7,998536.7060621922
8,999726.9680098807
9,993946.1792059094
10,1001534.2544273726
11,997136.8039874204
12,980455.1270471757
13,961919.2431795176
14,965079.3558733722
15,958067.2816544151
16,967432.2425017667
17,961535.1668427384
18,948005.0796759077
19,961564.9701645195
20,972434.0863618153
21,971213.3116217931
22,943258.3337694873
23,948703.9971710902
24,939245.8719858915
25,949797.7540293116
26,950086.2218007146
27,957765.9227089054
28,954758.0754469347
29,970571.483674178
30,974887.8340164736
31,978691.5613486283
32,979543.2901729895
33,979280.4977021009
34,973693.1083992008
35,982298.9914103004
36,977974.791818095
37,977803.5526946196
38,984250.2881962222
39,985673.7191647411
40,983057.9762620636
41,994013.9688477662
42,1007726.3979754106
43,1009571.4929149353
44,1008630.2600105453
45,1016215.812491574
46,1022334.6808309896
47,1025080.5004617507
48,1025155.6770985125
49,1032084.7051703803
50,1033757.0615526866
51,1039938.6179114104
52,1034812.0490762859
53,1036603.9530990345
54,1040921.4667419239
55,1034900.1875370276
56,1037514.8123346117
57,1034315.9719464305
58,1039595.3454003825
59,1040664.5678802064
60,1034960.2863115318
61,1037325.676176726
62,1042905.2858344178
63,1041623.753507794
64,1043239.672391494
65,1047326.5865115257
66,1050881.9853747564
67,1047550.0150115015
68,1051972.2298960795
69,1066804.291410542
70,1066597.7108369607
71,1024030.3867359809
72,1033089.1790389826
73,1027929.4006053403
74,1028205.9065311609
75,1031899.0605740126
76,1032165.7582535045
77,1023176.5553256364
78,1014739.8327268388
79,1023312.6859201964
80,1034839.9320851617
81,1001693.92848842
82,1017143.441835979
83,1006288.1366370978
84,1001213.729892448
85,969387.4380366524
86,960335.501968591
87,987629.9232897698
88,984509.0682934733
89,1007852.4852921688
90,996349.876217135
91,982810.0237812687
92,981627.7266280395
93,965135.4874078061
94,962706.7700910016
95,928730.4964663316
96,943269.1720796549
97,930444.161072566
98,937457.1517234792
99,928200.9191192342
100,951380.5064956092
101,941593.2645802025
102,933896.5314167418
103,950989.8628744192
104,950212.0540551216
105,925424.2683593694
106,911942.4094847618
107,913864.2750610516
108,910888.4508139315
109,922950.4405762372
110,929591.6220777436
111,924982.0586961095
112,944300.2451664194
113,944366.6760196716
114,947220.4203051446
115,949147.2878889472
116,948252.478549102
117,933131.1473433586
118,934882.4202709933
119,925003.9159314885
120,928814.8659244042
121,926113.3321468179
122,903418.296042808
123,894090.5302101531
124,892287.005448348
125,889186.1184505963
126,894614.1639584517
127,917934.9810976655
128,924619.54852194
129,930329.3508048947
130,930773.9574845178
131,942778.4921582073
132,941932.4882390947
133,950582.2170423525
134,935304.0057044656
135,939534.1828413407
136,946130.4575769932
137,935378.720615402
138,950457.527760502
139,960306.2814486255
140,965272.8251649134
141,963041.75783797
142,958791.5195890655
143,963440.9196553085
144,962185.3827006952
145,977284.505356788
146,977497.3433128478
147,985210.6606626346
148,982572.9154170526
149,980210.3856040181
150,986948.4267692888
151,980165.5275621883
152,955807.3416743687
153,952728.6169265689
154,948201.4684471725
155,946742.7770584768
156,956960.9831592168
157,959482.7738869445
158,946047.3727963873
159,943903.2521212829
160,940390.0418619083
161,927568.8424757102
162,930548.3255206665
163,919222.2545364872
164,924907.3527684765
165,911840.5340116539
166,907334.0171219845
167,928361.0353868604
168,933726.0481649636
169,955017.4213783309
170,944197.8931483325
171,950010.4615692765
172,953474.9546934568
173,960669.4408326491
174,973516.8533706215
175,969941.5508579256
176,972997.1917610284
177,974747.1370160267
178,975298.861394593
179,986175.8262460222
180,985606.8984370878
181,981266.2702721757
182,970952.7237931605
183,987602.61235187
184,983049.5460777206
185,989564.8528818117
186,989985.6623474564
187,987331.6192668797
188,995243.0228349025
189,988736.8144111615
190,1008737.8360433531
191,1014141.043562985
192,1013461.1253334746
193,1018457.3634766315
194,1018845.2484569668
195,1023346.1077027898
196,1027990.6056340719
197,1023439.1103819432
198,1021877.2301142549
199,1031228.4472793716
200,1021488.9964346533
201,1035066.5840445766
202,1039646.1133538472
203,1035404.309654571
204,1037342.0404375915
205,1039896.6056898877
206,1041081.7565080344
207,1038965.448986225
208,1037017.0324128196
209,1038255.6088997462
210,1044738.4589510121
211,1047224.1316689596
212,1065905.0410036414
213,1070877.7492116066
214,1064254.7899522106
215,1057715.9596142936
216,1056854.1654388546
217,1054053.0505629275
218,1042579.3201373923
219,1044458.2608930104
220,1032309.4629181252
221,1029733.6977928481
222,1045377.5937372978
223,1044390.992323232
224,1036248.756302185
225,1020770.0079012845
226,1035102.5088292182
227,1025763.8657933318
228,1025744.1343063297
229,1017099.0486837538
230,1037315.7266887492
231,1051331.0922693892
